KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
bkiChainsaw,An industrial tool used to cut down trees and as a close-combat weapon.\nRequires Biofuel in order to function.,Zum Fällen von Bäumen. Kann auch als Nahkampfwaffe benutzt werden.,Utilisé pour couper du bois. Peut aussi être utilisé comme arme de combat rapproché.,Attrezzo utilizzato per raccogliere la legna. Può essere utilizzato anche come arma da combattimento ravvicinato.,"Una herramienta industrial utilizada para talar árboles y como arma de combate cercano.\nRequiere bio-combustible para funcionar.",,Usado para cortar madeira. Também pode ser usado como uma arma de combate próximo.,,Используется для добычи древесины. Может также использоваться для оружия ближнего боя.,薪割りに使用. 接近戦用の武器としても使える. ,用于砍伐木材。也可以用于近战搏斗（开局神器—译者注）。,用於砍伐木材。也可以用於近戰搏鬥（開局神器—譯者註）。,,,Χρησιμοποιείται για να ρήξεις κάτω ένα δέντρο. Μπορεί επίσης να χρησιμοποιηθεί σαν όπλο σε μία κοντινή μάχη.,Gebruikt om hout te hakken. Kan ook als wapen voor korte afstandsgevechten worden gebruikt.,Dùng để chặt gỗ. Cũng có thể được sử dụng cho một vũ khí chiến đấu gần.
itmMedicGun,A specialized injector gun for administering medical aid to an ally in the field.\n[c][00FF00]RMB to select treatments[-][/c],,,,"Un arma inyectora especializada para administrar ayuda médica a un aliado en el campo.\n[c][00FF00]RMB para seleccionar tratamientos[-][/c]",,,,,,,,,,,,
itmStealthRifle,A specialist combat rifle equipped with a suppressor and nightvision scope used by elite UCH tactical units for stealth missions.\n[c][00AAFF]Lower chance that troops will react to gunshots[-][/c],,,,"Un rifle de combate especializado equipado con supresor y mira nocturna, usado por unidades tácticas élite de la UCH para misiones de sigilo.\n[c][00AAFF]Menor probabilidad de que las tropas reaccionen a disparos[-][/c]",,,,,,,,,,,,
itmFragGrenade,40mm anti-personnel fragmentation grenades for use with standard-issue UCH Grenade Launchers.,,,,"Granadas de fragmentación antipersoanl de 40mm para uso con Lanzagranadas estándar de la UCH.",,,,,,,,,,,,
itmSVBomb,"A pentaxid-enhanced ballistic shell for destroying ground targets. Bombs inherit the speed of the vehicle that launched them and safely disarm if they exceed their target distance.\n[c][00FF00]+100% Blast Damage vs Concrete\n+50% Blast Damage vs Metal Hull Blocks\nNo Reload Delay[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]",,,,"Una carga balística mejorada con pentaxid para destruir objetivos terrestres. Las bombas heredan la velocidad del vehículo que las lanzó y se desarman de manera segura si exceden la distancia objetivo.\n[c][00FF00]+100% Daño por Explosión vs Concreto\n+50% Daño por Explosión vs Bloques de Casco Metálico\nSin retraso de recarga[-][/c]\n[c][FF00FF]5,000 de Daño a Escudos por minuto[-][/c]",,,,,,,,,,,,
itmSVBombT3,"A 450kg cluster bomb that launches ground-penetrating bomblets shortly after launch for maximum damage against reinforced bunkers below ground. Bombs inherit the speed of the vehicle that launched them and safely disarm if they exceed their target distance.\n[c][00FF00]+150% Blast Damage vs Concrete\n+75% Blast Damage vs Metal Hull Blocks\nNo Reload Delay[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]",,,,"Una bomba de racimo de 450kg que lanza submuniciones perforantes poco después del lanzamiento para máximo daño contra bunkers reforzados subterráneos. Las bombas heredan la velocidad del vehículo que las lanzó y se desarman de manera segura si exceden la distancia objetivo.\n[c][00FF00]+150% Daño por Explosión vs Concreto\n+75% Daño por Explosión vs Bloques de Casco Metálico\nSin retraso de recarga[-][/c]\n[c][FF00FF]10,000 de Daño a Escudos por minuto[-][/c]",,,,,,,,,,,,
itmGrenadeLauncher,"A UCH multiple-grenade launcher designed to fire 40mm Grenades into enclosed spaces with grouped targets. Can be loaded with Frag Grenades, Gas Grenades or Incendiary Grenades.",,,,"Un lanzagranadas múltiple de la UCH diseñado para disparar granadas de 40mm a espacios cerrados con objetivos agrupados. Puede cargarse con Granadas de Fragmentación, Gas o Incendiarias.",,,,,,,,,,,,
itmCrossbowBolt,A steel-tipped Crossbow Bolt of Tal'on design. It has indentations in the tip for the application of poison.,,,,"Una flecha de ballesta con punta de acero de diseño Tal'on. Tiene hendiduras en la punta para la aplicación de veneno.",,,,,,,,,,,,
itmSlowRocket,Unguided anti-personnel fragmentation rockets used as ammunition by most portable rocket launchers.,,,,"Cohetes de fragmentación antipersoanl no guiados usados como munición por la mayoría de lanzacohetes portátiles.",,,,,,,,,,,,
itmPistolRound,"The 9x19mm parabellum is a rimless tapered firearms cartridge for Pistol, Submachine Gun, Heavy Pistol and Revolver use.",,,,"El cartucho 9x19mm Parabellum es un cartucho de fuego con borde reducido y forma cónica para pistola, subfusil, pistola pesada y revólver.",,,,,,,,,,,,
itmMinigunRound,Rimless 8.3mm bottlenecked rifle cartridge designed exclusively for portable miniguns and some large-caliber rifles.,,,,"Cartucho de rifle con borde reducido y cuello, calibre 8.3mm, diseñado exclusivamente para miniguns portátiles y algunos rifles de gran calibre.",,,,,,,,,,,,
itmRifleRound,"The 5.56x45mm NATO is a rimless bottlenecked intermediate cartridge family compatible with most standardized assault and combat rifles, as well as personal miniguns.",,,,"El 5.56x45mm NATO es una familia de cartuchos intermedios sin reborde y con cuello, compatible con la mayoría de rifles de asalto y de combate estandarizados, así como con miniguns personales.",,,,,,,,,,,,
itmSniperRound,The 7.62x51mm NATO is a rimless bottlenecked rifle cartridge primarily used in designated marksman and sniper rifles along with many machine guns.,,,,"El 7.62x51mm NATO es un cartucho de rifle sin reborde y con cuello, usado principalmente en rifles de francotirador y designados, así como en muchas ametralladoras.",,,,,,,,,,,,
itmGatlingRound,The 12.7x99mm NATO (also known as .50 BMG) is a Heavy Machine Gun and Anti-Materiel Rifle cartridge used as the standard round in ship-mounted rotary cannons and several Anti-Tank Rifles.,,,,"El 12.7x99mm NATO (también conocido como .50 BMG) es un cartucho para Ametralladora Pesada y Rifle Anti-Material usado como munición estándar en cañones rotativos montados en naves y varios rifles anti-tanque.",,,,,,,,,,,,
itmDrillCharge,A Promethium-based Energy Cell compatible with any standard Plasma Drill that will fully charge the tool's capacitor.,,,,"Una celda de energía basada en Promethium compatible con cualquier Taladro de Plasma estándar que cargará completamente el condensador de la herramienta.",,,,,,,,,,,,
itmShotgunShells,Standard 00 Buckshot shells compatible with any UCH-issue shotgun and some pistol attachments.,,,,"Cartuchos estándar 00 Buckshot compatibles con cualquier escopeta emitida por la UCH y algunos accesorios de pistola.",,,,,,,,,,,,
itmLaserPistolCharge,A promethium-based Energy Cell compatible with any standard laser pistol that will fully charge the weapon's capacitors.\n[c][00AAFF]One charge will fill the weapon's entire clip[-][/c],,,,"Una celda de energía basada en Promethium compatible con cualquier pistola láser estándar que cargará completamente los condensadores del arma.\n[c][00AAFF]Una carga llenará todo el cargador del arma[-][/c]",,,,,,,,,,,,
itmLaserRifleCharge,A pentaxid-based Energy Cell compatible with any standard laser rifle that will fully charge the weapon's capacitors.\n[c][00AAFF]One charge will fill the weapon's entire clip[-][/c],,,,"Una celda de energía basada en Pentaxid compatible con cualquier rifle láser estándar que cargará completamente los condensadores del arma.\n[c][00AAFF]Una carga llenará todo el cargador del arma[-][/c]",,,,,,,,,,,,
itmMultiCharge,A Promethium-based Energy Cell compatible with any standard Multitool that will fully charge the tool's capacitor.,,,,"Una celda de energía basada en Promethium compatible con cualquier Multiherramienta estándar que cargará completamente el condensador de la herramienta.",,,,,,,,,,,,
itmPlasmaCannonCharge,An Erestrum plasma cell used as ammunition by portable plasma cannons.,,,,"Una celda de plasma de Erestrum usada como munición por cañones de plasma portátiles.",,,,,,,,,,,,
itmSlowRocketHoming,A 75mm high-explosive laser-guided rocket used by portable rocket launchers against enemy personnel and aircrafts.,,,,"Un cohete guiado por láser de alto explosivo de 75 mm usado por lanzacohetes portátiles contra personal enemigo y aeronaves.",,,,,,,,,,,,
itmPlasmaBlasterCharge,A small plasma cell containing exotic elements that's used by some alien plasma weaponry.,,,,"Una pequeña celda de plasma que contiene elementos exóticos usada por algunas armas de plasma alienígenas.",,,,,,,,,,,,
itmEthanolCanister,Refined Ethanol designed to burn at higher temperatures for use in Flamethrowers.,,,,"Etanol refinado diseñado para arder a temperaturas más altas para su uso en lanzallamas.",,,,,,,,,,,,
itmFlamethrowerTank,"A pressurized tank containing a thermite-laced form of napalm, used for defoliation and deforestation on vehicle-mounted flamethrowers.\n[c][00FF00]+50% Blast Damage vs Wildlife and Ground Troops[-][/c]\n[c][FF0000]No Damage to most non-combustible blocks[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]",,,,"Un tanque presurizado que contiene una forma de napalm con termita, usado para defoliación y deforestación en lanzallamas montados en vehículos.\n[c][00FF00]+50% Daño por Explosión vs Fauna y Tropas Terrestres[-][/c]\n[c][FF0000]No daña la mayoría de bloques no combustibles[-][/c]\n[c][FF00FF]5,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmOxygenBottleLarge,A small reinforced steel tank that contains pure compressed O2. Can only be emptied into structure-mounted Oxygen Tanks.,,,,"Un pequeño tanque de acero reforzado que contiene O2 comprimido puro. Solo puede vaciarse en Tanques de Oxígeno montados en estructuras.",,,,,,,,,,,,
itmSVPlasmaCannonCharge,"Erestrum Gel suspended in a disposable metal casing that can be superheated with a cascade laser array. Used as ammunition in gunship-mounted plasma cannons.\n[c][00FF00]+25% Blast Damage vs Armor Blocks[-][/c]\n[c][FF0000]No Impact Damage[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]",,,,"Gel de Erestrum suspendido en un envase metálico desechable que puede sobrecalentarse con una matriz de láser en cascada. Usado como munición en cañones de plasma montados en naves de combate.\n[c][00FF00]+25% Daño por Explosión vs Bloques de Armadura[-][/c]\n[c][FF0000]Sin Daño de Impacto[-][/c]\n[c][FF00FF]5,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmRailgunSlug,"Heavy ferrous Cobalt-tipped slugs used as ammunition in small bore Railguns. Possess superior penetration against armor but deflect harmlessly off shields.\n[c][00FF00]+25% Impact Damage vs Armor Blocks\n+50% Magazine Size[-][/c]\n[c][FF00FF]2,800 Shield Damage per minute[-][/c]",,,,"Proyectiles pesados con punta de Cobalto ferrosa usados como munición en Railguns de calibre pequeño. Poseen penetración superior contra armaduras pero se desvían sin daño contra escudos.\n[c][00FF00]+25% Daño de Impacto vs Bloques de Armadura\n+50% Tamaño de Cargador[-][/c]\n[c][FF00FF]2,800 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmSVRocket,"Designed to be a low-collateral damage weapon for irregular warfare. The SGM-176 is standard use in space combat on all small crafts.\n[c][00FF00]+200% Damage vs Entities\n+25% Blast Damage vs Turrets and Weapons[-][/c]\n[c][FF0000]+100% Reload Time[-][/c]\n[c][FF00FF]2,500 Shield Damage per minute[-][/c]",,,,"Diseñado como arma de bajo daño colateral para guerra irregular. El SGM-176 es de uso estándar en combate espacial en naves pequeñas.\n[c][00FF00]+200% Daño vs Entidades\n+25% Daño por Explosión vs Torres y Armas[-][/c]\n[c][FF0000]+100% Tiempo de Recarga[-][/c]\n[c][FF00FF]2,500 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmCannonRoundT1,"30x113mm High Explosive autocannon rounds used in a variety of mobile and static cannons and turrets.\n[c][00FF00]+25% Impact Damage vs Weapons, Turrets and Concrete\n+100% Magazine Size[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]",,,,"Proyectiles de 30x113 mm de alto explosivo para cañones autocañones usados en una variedad de cañones móviles y torretas.\n[c][00FF00]+25% Daño de Impacto vs Armas, Torres y Concreto\n+100% Tamaño de Cargador[-][/c]\n[c][FF00FF]5,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmSVLaserChargeT1,"A pentaxid-based energy cell rated for small spacecrafts to recharge the capacitors in a Light Laser cannon. One cell will fully charge the capacitors.\n[c][00FF00]+50% Damage vs Xenosteel[-][/c]\n[c][FF0000]-33% Damage vs Turrets and Weapons[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]",,,,"Una celda de energía basada en Pentaxid para naves pequeñas, para recargar los condensadores de un cañón láser ligero. Una celda cargará completamente los condensadores.\n[c][00FF00]+50% Daño vs Xenosteel[-][/c]\n[c][FF0000]-33% Daño vs Torres y Armas[-][/c]\n[c][FF00FF]10,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmGVLaserChargeT1,"A pentaxid-based energy cell rated for small spacecrafts to recharge the capacitors in a Light Laser cannon. One cell will fully charge the capacitors.\n[c][00FF00]+50% Damage vs Xenosteel[-][/c]\n[c][FF0000]-33% Damage vs Turrets and Weapons[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]",,,,"Una celda de energía basada en Pentaxid para naves pequeñas, para recargar los condensadores de un cañón láser ligero. Una celda cargará completamente los condensadores.\n[c][00FF00]+50% Daño vs Xenosteel[-][/c]\n[c][FF0000]-33% Daño vs Torres y Armas[-][/c]\n[c][FF00FF]10,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmBAArtilleryShellT1,"155mm High-explosive anti-ship artillery shell designed for surface-mounted artillery cannons.\n[c][00FF00]+25% Impact Damage vs Weapons, Turrets and Armor Blocks\n+50% Blast Damage vs Concrete[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]",,,,"Proyectil de artillería antinave de 155mm de alto explosivo diseñado para cañones de artillería montados en superficie.\n[c][00FF00]+25% Daño de Impacto vs Armas, Torres y Bloques de Armadura\n+50% Daño por Explosión vs Concreto[-][/c]\n[c][FF00FF]10,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmCVLaserChargeT1,"A disposable high-output capacitor cell designed to fit into a mobile pulse laser array. It is rated for 30 shots before it needs to be replaced.\n[c][00FF00]+50% Damage vs Xenosteel[-][/c]\n[c][FF0000]-10% Damage vs Turrets and Weapons[-][/c]\n[c][FF00FF]20,000 Shield Damage per minute[-][/c]",,,,"Celda de condensador desechable de alta potencia diseñada para encajar en un láser de pulso móvil. Calificada para 30 disparos antes de necesitar reemplazo.\n[c][00FF00]+50% Daño vs Xenosteel[-][/c]\n[c][FF0000]-10% Daño vs Torres y Armas[-][/c]\n[c][FF00FF]20,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmBALaserChargeT1,"A disposable high-output capacitor cell designed to fit into a static pulse laser array. It is rated for 30 shots before it needs to be replaced.\n[c][00FF00]+50% Damage vs Xenosteel[-][/c]\n[c][FF0000]-10% Damage vs Turrets and Weapons[-][/c]\n[c][FF00FF]20,000 Shield Damage per minute[-][/c]",,,,"Celda de condensador desechable de alta potencia diseñada para encajar en un láser de pulso estático. Calificada para 30 disparos antes de necesitar reemplazo.\n[c][00FF00]+50% Daño vs Xenosteel[-][/c]\n[c][FF0000]-10% Daño vs Torres y Armas[-][/c]\n[c][FF00FF]20,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmCVRocketT1,"The 158mm rolling airframe missile was originally designed to be deployed from warship missile turrets for anti-aircraft roles, but is suitable for engaging enemy warships.\n[c][00FF00]+25% Blast Damage vs Thrusters\n200% Damage vs Drones[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]",,,,"El misil de 158mm con aerodinámica de superficie fue diseñado originalmente para ser desplegado desde torretas de misiles de buques en roles antiaéreos, pero es adecuado para atacar naves enemigas.\n[c][00FF00]+25% Daño por Explosión vs Propulsores\n200% Daño vs Drones[-][/c]\n[c][FF00FF]5,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmHVPlasmaChargeT1,"Erestrum Gel suspended in a disposable metal casing that can be superheated with a cascade laser array. Used as ammunition in mobile plasma turrets.\n[c][00FF00]+25% Blast Damage vs Armor blocks[-][/c]\n[c][FF0000]No impact damage[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]",,,,"Gel de Erestrum suspendido en un envase metálico desechable que puede sobrecalentarse con una matriz de láser en cascada. Usado como munición en torretas de plasma móviles.\n[c][00FF00]+25% Daño por Explosión vs Bloques de Armadura[-][/c]\n[c][FF0000]Sin Daño de Impacto[-][/c]\n[c][FF00FF]5,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmFlakShellCVT1,"30mm Incendiary airburst anti-aircraft shells that explode on contact saturating the air with superheated shrapnel.\n[c][00FF00]+50% Blast Damage vs HV/SV Armor Blocks\n+100% Blast Damage vs Drones[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]",,,,"Proyectiles antiaéreos de 30mm incendiarios que explotan al contacto, saturando el aire con metralla sobrecalentada.\n[c][00FF00]+50% Daño por Explosión vs Bloques de Armadura NH/NP\n+100% Daño por Explosión vs Drones[-][/c]\n[c][FF00FF]5,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmFlakShellBAT1,"30mm Incendiary airburst anti-aircraft shells that explode on contact saturating the air with superheated shrapnel.\n[c][00FF00]+50% Blast Damage vs HV/SV Armor Blocks\n+100% Blast Damage vs Drones[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]",,,,"Proyectiles antiaéreos de 30mm incendiarios que explotan al contacto, saturando el aire con metralla sobrecalentada.\n[c][00FF00]+50% Daño por Explosión vs Bloques de Armadura NH/NP\n+100% Daño por Explosión vs Drones[-][/c]\n[c][FF00FF]5,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmCVPlasmaChargeT1,"A cell of Erestrum Gel that is vaporized by a cascade laser array and magnetically confined and propelled at high speed to deal massive thermal and radiological damage.\n[c][00FF00]+25% Blast Damage vs Armor Blocks and Drones[-][/c]\n[c][FF0000]No Impact Damage[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]",,,,"Una celda de Gel de Erestrum que se vaporiza mediante una matriz de láser en cascada, se confina magnéticamente y se propulsa a alta velocidad para causar daño térmico y radiológico masivo.\n[c][00FF00]+25% Daño por Explosión vs Bloques de Armadura y Drones[-][/c]\n[c][FF0000]Sin Daño de Impacto[-][/c]\n[c][FF00FF]10,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmBAPlasmaChargeT1,"A cell of Erestrum Gel that is vaporized by a cascade laser array and magnetically confined and propelled at high speed to deal massive thermal and radiological damage.\n[c][00FF00]+25% Blast Damage vs Armor Blocks and Drones[-][/c]\n[c][FF0000]No Impact Damage[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]",,,,"Una celda de Gel de Erestrum que se vaporiza mediante una matriz de láser en cascada, se confina magnéticamente y se propulsa a alta velocidad para causar daño térmico y radiológico masivo.\n[c][00FF00]+25% Daño por Explosión vs Bloques de Armadura y Drones[-][/c]\n[c][FF0000]Sin Daño de Impacto[-][/c]\n[c][FF00FF]10,000 Daño a Escudo por minuto[-][/c]",,,,,,,,,,,,
itmHVArtilleryShellT1,"120x570mm Tank Ammunition is a semi-combustible cartridge used by 120mm smoothbore guns on most conventional tanks.\n[c][00FF00]+25% Impact Damage vs Weapons, Turrets and Concrete\n+50% Blast Damage vs HV/SV Armor Blocks[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]",,,,"Munición de tanque de 120x570mm es un cartucho semicomustible usado por cañones lisos de 120mm en la mayoría de los tanques convencionales.\n[c][00FF00]+25% Daño de impacto vs Armas, Torretas y Concreto\n+50% Daño por explosión vs Bloques de armadura NH/NP[-][/c]\n[c][FF00FF]10,000 Daño a escudos por minuto[-][/c]",,,,,,,,,,,,
itmZiraxLaserCharge,A type of thermal laser capacitor used in Zirax laser weaponry. It's inefficient compared to UCH lasers but can be used in dense atmosphere.\n[c][00FF00]High Damage vs Energy Shields[-][/c],,,,"Un tipo de condensador láser térmico usado en armamento láser Zirax. Es ineficiente comparado con los láseres UCH pero puede usarse en atmósferas densas.\n[c][00FF00]Alto daño vs Escudos de energía[-][/c]",,,,,,,,,,,,
itmSVRocketHoming,"Designed to be a low-collateral precision-guided missile for space-to-space combat. The SIM-9 is standard use in space combat on all small crafts.\n[c][00FF00]500% Impact Damage vs Entities\n+50% Blast damage vs Thrusters[-][/c]\n[c][FF00FF]2,500 Shield Damage per minute[-][/c]",,,,"Diseñado para ser un misil guiado de precisión de bajo daño colateral para combates espaciales. El SIM-9 es de uso estándar en todas las naves pequeñas.\n[c][00FF00]500% Daño de impacto vs Entidades\n+50% Daño por explosión vs Propulsores[-][/c]\n[c][FF00FF]2,500 Daño a escudos por minuto[-][/c]",,,,,,,,,,,,
itmCVArtilleryShellT1,"155mm High-explosive anti-ship artillery shell designed for ship-mounted artillery turrets.\n[c][00FF00]+25% Impact Damage vs Weapons, Turrets and Armor Blocks\n+50% Blast Damage vs Concrete[-][/c]\n[c][FF00FF]10,000 Shield Damage per minute[-][/c]",,,,"Proyectil de artillería anti-barco de 155mm de alto explosivo, diseñado para torretas de artillería montadas en naves.\n[c][00FF00]+25% Daño de impacto vs Armas, Torretas y Bloques de armadura\n+50% Daño por explosión vs Concreto[-][/c]\n[c][FF00FF]10,000 Daño a escudos por minuto[-][/c]",,,,,,,,,,,,
itmBARocketT1,"The 158mm rolling airframe missile was originally designated for anti-aircraft and missile interception, they're perfectly capable of disabling enemy warships.\n[c][00FF00]+25% Blast Damage vs Thrusters\n200% Damage vs Drones[-][/c]\n[c][FF0000]+100% Reload Time[-][/c]\n[c][FF00FF]5,000 Shield Damage per minute[-][/c]",,,,"El misil de 158mm de cuerpo rodante fue originalmente designado para defensa antiaérea e intercepción de misiles, pero es perfectamente capaz de inutilizar naves enemigas.\n[c][00FF00]+25% Daño por explosión vs Propulsores\n200% Daño vs Drones[-][/c]\n[c][FF0000]+100% Tiempo de recarga[-][/c]\n[c][FF00FF]5,000 Daño a escudos por minuto[-][/c]",,,,,,,,,,,,
itmCVLaserChargeWeapon,A disposable high-output capacitor cell designed to fit into a mobile pulse laser array. It is rated for 50 shots before it needs to be replaced.\n[c][00FF00]High Damage vs Energy Shields[-][/c],,,,"Una celda de condensador de alta salida desechable diseñada para encajar en una matriz láser móvil. Se estima para 50 disparos antes de necesitar reemplazo.\n[c][00FF00]Alto daño vs Escudos de energía[-][/c]",,,,,,,,,,,,
itmZiraxRocketT1,A 133mm heat-seeking missile used by the Zirax navy for deployment from their warship missile turrets.\n[c][FF0000]Low Damage vs Energy Shields[-][/c],,,,"Un misil de 133mm buscador de calor usado por la marina Zirax desde torretas de misiles en sus naves.\n[c][FF0000]Bajo daño vs Escudos de energía[-][/c]",,,,,,,,,,,,
itmZiraxArtilleryShellT1,A 180mm trans-atmospheric stabilized artillery shell with an Erestrum Plasma detonator used in Zirax artillery installations. It can be reused in any captured zirax turrets or deconstructed for components.\n[c][FFBB00]Medium Damage vs Energy Shields[-][/c],,,,"Proyectil de artillería estabilizado trans-atmosférico de 180mm con detonador de plasma Erestrum usado en instalaciones de artillería Zirax. Puede reutilizarse en torretas capturadas o desmantelarse para componentes.\n[c][FFBB00]Daño medio vs Escudos de energía[-][/c]",,,,,,,,,,,,
itmHVRocketT1,"The FIM-92S is an infrared-guided anti-aircraft missile used in hover vehicle-mounted missile turrets.\n[c][00FF00]+100% Impact Damage vs Entities\n+50% Blast damage vs Thrusters[-][/c]\n[c][FF0000]+100% Reload Time[-][/c]\n[c][FF00FF]2,500 Shield Damage per minute[-][/c]",,,,"El FIM-92S es un misil antiaéreo guiado por infrarrojos usado en torretas de misiles montadas en vehículos flotantes.\n[c][00FF00]+100% Daño de impacto vs Entidades\n+50% Daño por explosión vs Propulsores[-][/c]\n[c][FF0000]+100% Tiempo de recarga[-][/c]\n[c][FF00FF]2,500 Daño a escudos por minuto[-][/c]",,,,,,,,,,,,
itmZiraxEMPCharge,Some kind of Plasma Cell used in specialized Zirax turrets that create an EMP shockwave on detonation. It can be reused or salvaged for components.\n[c][00FF00]High Damage vs Energy Shields[-][/c],,,,"Algún tipo de celda de plasma usada en torretas Zirax especializadas que generan una onda de choque EMP al detonar. Puede reutilizarse o rescatarse para componentes.\n[c][00FF00]Alto daño vs Escudos de energía[-][/c]",,,,,,,,,,,,
itmHydrogenCell,A hydrogen fuel cell used in a fusion reactor to initiate and sustain a fusion reaction.,,,,"Una celda de combustible de hidrógeno usada en un reactor de fusión para iniciar y sostener una reacción de fusión.",,,,,,,,,,,,
itmSteak,A grilled steak made from processed meat. It looks tasty but I make no guarantees on the flavor.,,,,"Un filete a la parrilla hecho de carne procesada. Se ve apetitoso, pero no garantizo el sabor.",,,,,,,,,,,,
itmMeat,It's some kind of unidentifiable meat. I wouldn't recommend eating this raw.,,,,"Es un tipo de carne no identificable. No recomendaría comerla cruda.",,,,,,,,,,,,
itmSpice,Dried Cobraleaves which has a smell and flavor similar to cinnamon with a hint of spiciness.,,,,"Hojas de Cobrale secas con aroma y sabor similar a la canela con un toque picante.",,,,,,,,,,,,
itmCactusSpears,The fruit of the Opuntia cactus. Delicious and refreshing if a little sour.,,,,"El fruto del cactus Opuntia. Delicioso y refrescante, aunque un poco ácido.",,,,,,,,,,,,
itmFiber,Plant fibers that can be processed into a multitude of components from building blocks to ammunition.,,,,"Fibras vegetales que pueden procesarse en multitud de componentes, desde bloques de construcción hasta munición.",,,,,,,,,,,,
itmAkuaWine,A bottle of Wine made from Akuan Berries and artificially aged using a Food Processor. None of the class of a real Terran vintage of course.\n[c][FF0000]May cause Drunkeness:[-][/c] [c][FFFFFF]Slight Regeneration while drunk[-][/c],,,,"Una botella de vino hecha de bayas Akuan y envejecida artificialmente usando un procesador de alimentos. Por supuesto, no tiene la clase de un vino terrano real.\n[c][FF0000]Puede causar embriaguez:[-][/c] [c][FFFFFF]Regeneración ligera mientras estás borracho[-][/c]",,,,,,,,,,,,
itmAkuaFruit,"A blue, jewel-like fruit native to several heavily forested planets that is desired in many offworld markets. The difficulty in artificial cultivation has resulted in high prices and frequent smuggling.",,,,"Un fruto azul, parecido a una joya, nativo de varios planetas densamente boscosos, codiciado en muchos mercados fuera del planeta. La dificultad de cultivo artificial ha generado precios altos y frecuentes contrabandos.",,,,,,,,,,,,
itmAlienParts01,A fleshy plant growth filled with a strong anesthetic sap possessing anti-bacterial and anti-microbial properties.,,,,"Un crecimiento vegetal carnoso lleno de savia anestésica potente con propiedades antibacterianas y antimicrobianas.",,,,,,,,,,,,
itmAlienParts02,A gland retrieved from an alien creature that scans have identified to have medical uses if processed properly.,,,,"Una glándula extraída de una criatura alienígena que, según escaneos, tiene usos médicos si se procesa adecuadamente.",,,,,,,,,,,,
itmAlienParts03,A hard mollusk-like growth whose body contains enzymes and poisons that can be diluted and processed for medical applications.,,,,"Un crecimiento duro parecido a un molusco cuyo cuerpo contiene enzimas y venenos que pueden diluirse y procesarse para aplicaciones médicas.",,,,,,,,,,,,
itmStew,A big bowl of Dino Stew (may not contain actual dinosaur) complete with a variety of toppings and seasonings. This is the best meal around and it's best to eat it while it's hot.,,,,"Un gran tazón de estofado de Dino (puede que no contenga dinosaurio real) con una variedad de ingredientes y condimentos. Esta es la mejor comida y es mejor comerla caliente.",,,,,,,,,,,,
itmBread,Regular white bread with a nice crunchy crust on top that would be great as a sandwich.,,,,"Pan blanco regular con una corteza crujiente en la parte superior, ideal para hacer un sándwich.",,,,,,,,,,,,
itmFruit,A suspicious breed of fruit unique to the Andromeda galaxy. It should be safe to eat right?,,,,"Una fruta sospechosa y única de la galaxia Andrómeda. ¿Debería ser segura para comer, verdad?",,,,,,,,,,,,
itmGrain,Seemingly ordinary grain that's used to make bread and pastries. It's probably a bit hard to digest.,,,,"Grano aparentemente ordinario usado para hacer pan y pasteles. Probablemente un poco difícil de digerir.",,,,,,,,,,,,
